"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         223,      -7.975762652,      -6.022893787,      -5.355310999,      -2.496251776
          0,           0,         224,      -7.979624105,      -6.007439123,      -5.359920016,      -2.500157471
          0,           0,         225,      -7.985856837,      -5.983554284,      -5.369957065,      -2.506243101
          0,           0,         226,      -7.997892316,      -5.967613692,      -5.387406382,      -2.518005965
          0,           0,         227,      -8.016450491,      -5.968726567,      -5.411108059,       -2.53626139
          0,           0,         228,      -8.040130837,      -5.989731854,      -5.437891435,      -2.559724157
          0,           0,         229,      -8.065984198,      -6.029115323,      -5.463257468,       -2.58553274
          0,           0,         230,      -8.088942349,      -6.081341876,      -5.481912785,      -2.608666985
          0,           0,         231,      -8.105756099,      -6.132449606,      -5.492619515,       -2.62580412
          0,           0,         232,       -8.11554146,      -6.162248587,      -5.497547553,      -2.635899722
          0,           0,         233,      -8.120219828,      -6.160726038,      -5.500790472,      -2.640740462
          0,           0,         234,      -8.124466197,      -6.139154696,      -5.507275264,      -2.644945557
          0,           0,         235,      -8.132835826,      -6.117011282,      -5.520385258,      -2.653103551
          0,           0,         236,       -8.14787557,      -6.107530566,      -5.541066371,      -2.667841072
          0,           0,         237,      -8.169100861,      -6.117225617,      -5.566869188,      -2.688782765
          0,           0,         238,      -8.194758132,      -6.146734123,      -5.594350822,       -2.71428194
          0,           0,         239,      -8.220627514,      -6.193064602,      -5.618028864,      -2.740195335
          0,           0,         240,      -8.241684718,      -6.247800651,      -5.633585959,      -2.761509302
          0,           0,         241,      -8.255753921,      -6.292783239,       -5.64163148,      -2.775921155
          0,           0,         242,      -8.262711513,      -6.309434551,      -5.645010846,      -2.783145257
          0,           0,         243,      -8.266290785,      -6.296744024,      -5.648867698,      -2.786804513
          0,           0,         244,      -8.271742838,       -6.27245363,      -5.657905185,      -2.792133648
          0,           0,         245,      -8.283041046,       -6.25442993,      -5.674702236,      -2.803166029
          0,           0,         246,      -8.301392781,      -6.253127064,      -5.698555172,      -2.821202547
          0,           0,         247,       -8.32564873,      -6.272129619,      -5.726471154,      -2.845212018
          0,           0,         248,      -8.352948776,       -6.31037574,      -5.753857904,      -2.872429403
          0,           0,         249,      -8.377731361,      -6.363041401,      -5.774591316,      -2.897359992
          0,           0,         250,       -8.39602378,      -6.416887802,       -5.78660465,      -2.915975585
          0,           0,         251,      -8.406377978,      -6.451050571,      -5.791687376,      -2.926666096
          0,           0,         252,       -8.41067795,       -6.45274484,      -5.794212715,      -2.931163221
          0,           0,         253,       -8.41429217,      -6.431625603,      -5.799928065,      -2.934761058
          0,           0,         254,      -8.422341513,      -6.408310366,      -5.812779151,      -2.942607259
          0,           0,         255,      -8.437680863,      -6.397567933,      -5.833968663,      -2.957637182
          0,           0,         256,       -8.45994219,      -6.406583459,      -5.861080891,      -2.979595842
          0,           0,         257,      -8.487244562,      -6.436183491,      -5.890429789,      -3.006715191
          0,           0,         258,      -8.514717147,      -6.483557832,      -5.915687973,       -3.03421537
          0,           0,         259,      -8.536743366,       -6.54016694,       -5.93198395,      -3.056500851
          0,           0,         260,      -8.550836173,      -6.587231346,      -5.939828585,      -3.070954847
          0,           0,         261,      -8.556993957,       -6.60503838,      -5.942396817,       -3.07740157
          0,           0,         262,      -8.559938271,      -6.592093315,       -5.94580764,      -3.080436996
          0,           0,         263,      -8.565599006,       -6.56732648,      -5.955250966,      -3.085973438
          0,           0,         264,      -8.577992886,      -6.549648368,      -5.973309428,       -3.09809306
          0,           0,         265,       -8.59797375,      -6.549916727,      -5.998754224,      -3.117749895
          0,           0,         266,      -8.624190368,      -6.571214712,      -6.028393522,      -3.143716401
          0,           0,         267,      -8.652871648,      -6.612175981,      -6.056592046,      -3.172323458
          0,           0,         268,      -8.677731047,      -6.667292337,      -6.076785311,      -3.197355511
          0,           0,         269,      -8.695104512,      -6.721485831,      -6.087681484,      -3.215072743
          0,           0,         270,      -8.703731005,      -6.753162225,      -6.091409415,       -3.22404151
          0,           0,         271,      -8.706996053,      -6.751252443,      -6.093605993,      -3.227488357
          0,           0,         272,      -8.711088882,      -6.728741248,      -6.100353614,      -3.231539775
          0,           0,         273,      -8.720884695,      -6.706963526,      -6.115236521,      -3.241113512
          0,           0,         274,      -8.738467121,      -6.700170194,      -6.138419607,      -3.258381175
          0,           0,         275,      -8.762900461,      -6.714093848,      -6.167017767,      -3.282530335
          0,           0,         276,      -8.791360886,      -6.748646276,      -6.196301363,      -3.310847194
          0,           0,         277,      -8.817860905,      -6.799939541,      -6.219319718,      -3.337434586
          0,           0,         278,      -8.837621368,      -6.856441167,      -6.232912953,      -3.357492732
          0,           0,         279,       -8.84869346,      -6.897558545,      -6.238384285,       -3.36892024
          0,           0,         280,      -8.852913223,      -6.906517472,      -6.240326852,      -3.373381966
          0,           0,         281,      -8.856133144,      -6.888830049,      -6.245136961,      -3.376632811
          0,           0,         282,      -8.863824273,      -6.865602769,      -6.257154454,       -3.38415883
          0,           0,         283,      -8.878982244,      -6.853721019,      -6.277691724,      -3.399032467
          0,           0,         284,      -8.901187093,      -6.861537023,      -6.304281869,      -3.420947749
          0,           0,         285,      -8.928269956,      -6.890217218,       -6.33296625,      -3.447851254
          0,           0,         286,      -8.955067828,      -6.936760827,      -6.357278232,      -3.474670674
          0,           0,         287,       -8.97613155,      -6.992276922,      -6.372749283,      -3.495975543
          0,           0,         288,      -8.989087432,      -7.038139825,      -6.379938219,      -3.509268529
          0,           0,         289,      -8.994479403,      -7.055390525,      -6.382288969,      -3.514927765
          0,           0,         290,      -8.997358405,      -7.043316248,      -6.385893269,       -3.51788864
          0,           0,         291,      -9.003423286,      -7.020645281,       -6.39554187,      -3.523839925
          0,           0,         292,      -9.016252582,        -7.0056515,      -6.413320038,       -3.53642456
          0,           0,         293,      -9.036033587,      -7.008738083,      -6.437374449,      -3.555930612
          0,           0,         294,       -9.06101643,      -7.032353969,      -6.464280118,       -3.58072419
          0,           0,         295,      -9.086971082,      -7.074109695,      -6.488426737,      -3.606659797
          0,           0,         296,       -9.10835164,       -7.12674257,      -6.504813294,      -3.628228826
          0,           0,         297,      -9.122423558,      -7.173628819,      -6.513283079,      -3.642602543
          0,           0,         298,      -9.128892954,      -7.195700467,      -6.516351899,      -3.649336025
          0,           0,         299,      -9.131780553,       -7.18840221,      -6.519363934,      -3.652332161
          0,           0,         300,       -9.13661477,      -7.167307778,      -6.527195164,        -3.6570919
          0,           0,         301,      -9.147330886,      -7.150799061,      -6.542388954,      -3.667601381
          0,           0,         302,      -9.164725651,      -7.150427171,      -6.563821263,      -3.684745028
          0,           0,         303,      -9.187326222,      -7.169878617,      -6.588394684,      -3.707161186
          0,           0,         304,      -9.211725678,      -7.207292875,      -6.611403486,      -3.731521802
          0,           0,         305,      -9.232717472,      -7.256245153,      -6.627910573,      -3.752660437
          0,           0,         306,      -9.247237398,      -7.301907859,      -6.637112833,       -3.76744403
          0,           0,         307,      -9.254542057,      -7.325915494,      -6.640911945,      -3.774994497
